feaf,123,edgwr@gdgre.com,423423523,rerggre,23/12/1999,21,23,22.0,12b
htrfh,5543,terger@gref.com,he5h,32423regre,12/09/534,12,32,22.0,2v
g?gwe,325,3rfsdf@fsefe.com,464984,2fdsfw,23/12/323,50,48,49.0,32d
qgfew,t3t3,dafwf@gmail.com,23352,ewgwoh,22/12/431,53,21,37.0,21j
32ew,3wert,rdwgw@grg.com,234234,wwet,12/12/1212,54,12,33.0,32d
gregd,234,grsge@gmail.com,23523523,reoighero,21/12/2121,20,65,42.0,23h
afew,234,fwef@fweg.fgew,323424,sdgerg,12/12/12121,23,54,38.0,12f
fwgw,21,fwefwef@fwegf.ce,324234,234fwef,12/12/2012,54,43,48.0,23f
rewfw3,21,fweef@gre.com,1234231,234fsfw,21/12/2121,12,43,27.0,21e
rwe4f,21,wfwgw@greg.fw,312423,23fsf,23/12/4342,21,24,22.0,2f
fwef,21,fewef@fewf.ca,21412,23f,12/12/2012,23,12,17.0,43d
12fr,534,fwef@gw.ca,2344,3224fwrf,21/12/232,32,34,33.0,32d
12fe,435,fw@grfgwe.co,4234,32f,22/12/212,21,32,26.0,34rt
r3223,21,rewger@frf.com,214234,213dwe,12/12/431,12,23,17.0,2rd
